StudentID,Firstname,Lastname,Email,SurveyCohort,ClassStanding,NewStudEntryType,Phone,In_OutState,StudentPermCity,StudentPermState,StudentPermZipcode,Gender,Race,BirthYear,International,HSGradYear,YrFirstMatriculated,SATVerbal,SATWriting,SATMath,ACTComposite,ACTEnglish,ACTMath,ACTReading,ACTScience,EntranceScore,HSGPA,HSPerRank,StudentMotherEdLevel,StudentFatherEdLevel,StudentNumHS,StudentNumDependents,StudentAthlete,StudentResidence,StudentMilitary,PreFallTermCumGPA,PreFallTermCredits,PreFallTermRemCred,PreFallTermTotCredit
20152359N,Spencer,Conatser,Spencer.Conatser@2015-northstate.edu,1,0,0,555-222-4001,1,Milford,KS,66514,0,4,1995,0,2013,2013,,560,550,24,24,25,25,23,9,3.7,3,0,1,0,0,0,0,0,,18,,0
20151189N,Dustin,Deverney,Dustin.Deverney@2015-northstate.edu,1,0,0,555-222-4165,0,Shelbina,MO,63468,0,5,1995,0,2013,2013,,,,17,19,18,18,16,3,2.99,12,0,0,0,0,0,0,0,,15,,
20151024N,Taylor,Munas,Taylor.Munas@2015-northstate.edu,1,0,0,555-222-4002,1,Chicago,IL,60680,0,7,1994,0,2013,2013,500,450,530,24,21,25,24,25,6,3.83,13,3,3,0,,0,0,0,3,16,,6
20151075N,Ethan,Lutterbach,Ethan.Lutterbach@2015-northstate.edu,1,0,0,555-222-4003,0,Cadet,MO,63630,0,7,1994,0,2013,2013,,,,21,19,22,23,19,5,3.07,45,1,4,1,0,0,0,0,,15,,15
20151261N,Cory,Herald,Cory.Herald@2015-northstate.edu,1,0,0,555-222-4004,1,Rock Island,IL,61201,0,7,1993,0,2012,2013,480,440,470,18,17,19,16,20,4,2.8,54,3,2,0,0,0,0,1,,12,,32
20151285N,Bryan,Mignon,Bryan.Mignon@2015-northstate.edu,1,0,0,555-222-4078,0,Higginsville,MO,64037,0,7,1995,0,2013,2013,,,,22,19,18,28,22,5,2.61,90,1,4,0,0,0,0,0,,15,,0
20151315N,Courtney,Brown,Courtney.Brown@2015-northstate.edu,1,0,0,555-222-4005,0,Catron,MO,63833,0,7,1994,0,2013,2013,400,340,460,,,,,,3,2.81,36,1,1,0,,0,0,0,,13,,
20151666N,Benjamin,Hanshaw,Benjamin.Hanshaw@2015-northstate.edu,1,0,0,555-222-4009,1,Hoyt,KS,66440,0,7,1994,0,2013,2013,410,440,490,20,20,21,20,18,5,2.49,59,0,1,0,0,0,0,0,,14,,
20151936N,Colby,Berne,Colby.Berne@2015-northstate.edu,1,0,0,555-222-4051,0,Essex,MO,63846,0,7,1994,0,2013,2013,430,230,380,,,,,,3,2.74,59,1,1,0,0,0,0,0,,15,3,
20152125N,Stephen,Herron,Stephen.Herron@2015-northstate.edu,1,0,0,555-222-4007,1,Mc Farland,KS,66501,0,7,1994,0,2013,2013,600,520,550,,,,,,6,3.72,22,3,3,0,0,0,0,0,,18,,0
